nombre;categoria;rvc;epochs;language;enlace;nombre2;rvc2;epochs2;language2;enlace2;nombre3;rvc3;epochs3;language3;enlace3;nombre4;rvc4;epochs4;language4;enlace4;nombre5;rvc5;epochs5;language5;enlace5;nombre6;rvc6;epochs6;language6;enlace6;nombre7;rvc7;epochs7;language7;enlace7;nombre8;rvc8;epochs8;language8;enlace8;nombre9;rvc9;epochs9;language9;enlace9;nombre10;rvc10;epochs10;language10;enlace10
Claire Redfield;Resident Evil;RVC2;400;;https://huggingface.co/Beretiful/RE2ClaireRedfield/resolve/main/Claire%20Redfield%20(400%20Epochs).zip?download=true;Claire Redfield;RVC2;300;;https://huggingface.co/Sekuro/my_models/resolve/main/claireRE2RE.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clank;Ratchet & Clank;RVC2;300;Italian;https://huggingface.co/TheStinger/clank/resolve/main/clank.zip;Clank;RVC2;350;;https://huggingface.co/InductiveGrub/Clank/resolve/main/Clank.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clementine;The Walking Dead;;;;https://app.kits.ai/convert/shared/clementine-telltales-the-walking-dead-season-2;Clementine;;;;https://app.kits.ai/convert/shared/clementine-tell-tales-the-walking-dead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coach John McGuirk;Home Movies;;300;;https://app.kits.ai/convert/shared/coach-john-mcguirk;Coach John McGuirk;RVC2, RMVPE;250;;https://huggingface.co/Moon302018/Coach/resolve/main/Coach2.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colette;Brawl Stars;RVC2;500;;https://huggingface.co/Pawlik17/Colettebs/resolve/main/Colette.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colt;Brawl Stars;RVC2;500;;https://huggingface.co/Player1444/AI.models/resolve/main/Colt.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conor McGregor;Sport;RVC2;300;;https://huggingface.co/absidi/johnk/resolve/main/mcgregor.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordelius;Brawl Stars;RVC2;300;;https://huggingface.co/fernandogg2009/Cordelius/resolve/main/Cordelius.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cortana;AI;RVC;150;;https://drive.google.com/file/d/1-9vJj24w3dlLhMSOtXismX-D3pmkCEHB/view?usp=share_link;Cortana;RVC2, RMVPE;500;;https://huggingface.co/datasets/mango19918/aimodels/resolve/main/cortana-windows-10.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmo The Seedrian;Sonic;RVC2;300;;https://huggingface.co/Zeal-anton-ski/Sage/resolve/main/Cosmo.zip;Cosmo The Seedrian;RVC2;300;;https://models.weights.gg/clodmsd1h027kwsqna7mlx50u.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Courage the Cowardly Dog;Courage the Cowardly Dog;RVC2;525;;https://huggingface.co/koolaidinpepsi/aivoices/resolve/ac33601cd1b7028f607a1e03363f8ecb6b12393e/couragethecowardlydog.zip;Courage the Cowardly Dog;RVC2;650;;https://huggingface.co/koolaidinpepsi/aivoices/resolve/main/courageRetrained.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cozy Glow;My Little Pony;RVC2;300;;https://huggingface.co/MusicBox27/MyLittlePonyRVC/resolve/main/CozyGlow%20V2.zip;Cozy Glow;RVC2, RMVPE;225;;https://huggingface.co/MusicBox27/MyLittlePonyRVC/resolve/main/CozyGlowV3.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cpt. MacMillan;Call of Duty;RVC2;1000;;https://huggingface.co/asdadasdsafagfsads/Cpt.Macmillan/resolve/main/Cpt.MacMillan.zip;Cpt. MacMillan;RVC2;1000;;https://huggingface.co/Alibor55/CaptainMacMillan/resolve/main/Captain%20MacMillan.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Craig Tucker;South Park;;300;Polish;https://app.kits.ai/convert/shared/craig-tucker-polski-dubbing;Craig Tucker;RVC2;224;;https://huggingface.co/Rookidee/rookidees-craig-tucker/resolve/main/rookidees-craig.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crazy Frog (RVC v2) (550 epoch) (48k Hz);;RVC2;550;;https://huggingface.co/BigMitchell/CrazyFrog/resolve/main/crazy_frog.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crocodile;One Piece;RVC2;250;;https://huggingface.co/RevolutionaryPie/CrocodileRVC/resolve/main/Crocodile.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursed Woody;Toy Story;RVC2;300;;https://drive.google.com/file/d/142UYy-w6WTyT27yjfwu3Xmo4OucYSDR1/view?usp=sharing;Cursed Woody;RVC2;300;;https://huggingface.co/cocoa7/CursedWoodySONG/resolve/main/cursedwoody.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cypher;Valorant;RVC2;250;English;https://huggingface.co/lafual/Cypher_RVC_v2/resolve/main/Cypher.zip;Cypher;RVC2, RMVPE;500;Spanish;https://huggingface.co/Xavier2213/Cypher/resolve/main/Cypher%20(1).zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daisuke Namikawa;Singer;RVC2;100;Japanese;https://models.weights.gg/cloeqwjff003rwsk9lfjcrfoq.zip;Daisuke Namikawa;RVC2;100;Japanese;https://huggingface.co/Mitsubachi/True_Blue_Collection/resolve/main/Shouta_Kazehaya.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daisy Duck;Disney;RVC2;250;;https://huggingface.co/NewTab/RVCModelsV1orV2/resolve/main/DaisyDuck.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DalasReview;Youtuber;RVC2;250;;https://huggingface.co/AndresLoquendo0/DalasReviewSINGING/resolve/main/DalasSing.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dallas;Payday;;300;;https://app.kits.ai/convert/shared/dallas-8;Dallas;RMVPE;200;;https://huggingface.co/Chuck1200/Dallas-Payday-2-200E/resolve/main/Dallas.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danger Mouse;Singer;RVC2;250;;https://huggingface.co/TheCyiTriangularDevil/DangerMouse1981;Danger Mouse (2015);RVC2;250;;https://huggingface.co/TheCyiTriangularDevil/DangerMouse2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Balavoine;Singer;;;;https://huggingface.co/Mynno/DanielBalavoine/resolve/main/DanielBalavoine300e.zip;Daniel Balavoine;RVC2, RMVPE;300;;https://huggingface.co/Freddie-Dassin/Daniel_Balavoine/resolve/main/Daniel%20Balavoine.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Noboa Azín;Politician;RVC2, RMVPE;300;Spanish;https://huggingface.co/Eddycrack864/Daniel-Noboa-AI-Voice/resolve/main/danielnoboa.zip?download=true;Daniel Noboa Azín;RVC2, RMVPE;300;Spanish;https://huggingface.co/Eddycrack864/Daniel-Noboa-AI-Voice/resolve/main/danielnoboa.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daria Zawiałow;Singer;RVC2;319;Polish;https://huggingface.co/CrimsonZockt/RVC-Model/resolve/main/DariazawialowV2.zip;Daria Zawialow;RVC2;300;Polish;https://huggingface.co/CrimsonZockt/RVC-Model/resolve/main/Dariazawialow.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DarkAngelCraft;Youtuber;RMVPE;300;Italian;https://huggingface.co/FanFierik/DarkAngelCraft/resolve/main/DarkAngelCraft.zip?download=true;DarkAngelCraft;RVC2;300;Italian;https://huggingface.co/FanFierik/DarkAngelCraft/resolve/main/DarkAngelCraft.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DarkDevilCraft;Youtuber;;300;Italian;https://huggingface.co/FanFierik/DarkDevilCraft/resolve/main/DarthDevilCraft.zip?download=true;DarkDevilCraft;RVC2;300;Italian;https://huggingface.co/FanFierik/DarkDevilCraft/resolve/main/DarthDevilCraft.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daxter;Jax & Daxter;RVC2;320;;https://huggingface.co/Albinator/Daxter-From-Jak-And-Daxter/resolve/main/DaxterV2_e320_Pitch.zip?download=true;Daxter;RVC2;500;;https://huggingface.co/Albinator/Daxter-From-Jak-And-Daxter/resolve/main/DaxterV2_e500_NoPitch.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daybreaker ;My Little Pony;RVC2;250;;https://huggingface.co/VillainMaster/Daybreaker/resolve/main/Daybreaker.zip;Daybreaker;RVC2, RMVPE;300;;https://huggingface.co/MusicBox27/MyLittlePonyRVC/resolve/main/Daybreaker.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dazai Osamu;Writter;RVC2;500;Japanese;https://huggingface.co/enescakircali/dazai-osamu/resolve/main/dazai-osamu.zip;Dazai Osamu;;200;;https://huggingface.co/ddoumakunn/dazaiosamu/resolve/main/dazaiosamu.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeadP47;Youtuber;Ov2;100;;https://huggingface.co/Joxi/RVCv2_models/resolve/main/DeadP47%20(Ov2).zip?download=true;Deadp47;RVC2;300;;https://huggingface.co/andrew11123/Deadp47/resolve/main/Deadp47.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deadpool;Marvel;RMVPE;350;;https://huggingface.co/Homiebear/DeadPoolNolanNorth/resolve/main/Deadpool%20(Game).zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dehya;Genshin Impact;RVC2, RMVPE;320;English;https://huggingface.co/Dolyfin/RVC2Models/resolve/main/DehyaEN4.0_e320_s83200.zip;Dehya;RVC2, RMVPE;320;English;https://huggingface.co/Dolyfin/Dolyfin/resolve/main/DehyaEN4.0_e320_s83200.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Del the Funky Homosapien;Singer;RVC2;500;;https://models.weights.gg/clodf03bc01siwsqnjospabjj.zip;Del the Funky Homosapien;RVC2;500;;https://huggingface.co/YETI2003/delthefunkyhomosapiens/resolve/main/delthefunky.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demi Lovato;Singer;RVC2;460;;https://huggingface.co/magnus-son/Demi_Lovato_2008_RVC-V2_460e/blob/main/DemiLovato2008.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denzel Washington;Actor;RVC2, RMVPE;500;;https://huggingface.co/Fadeca/Denzel/resolve/main/DenzelWashington.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diana Burnwood;Hitman;RVC2;300;;https://huggingface.co/PleasureMan/Diana-Burnwood/blob/main/DianaBurnwood.zip;Diana Burnwood;RVC2;355;;https://huggingface.co/sonphantrung/HitmanVoiceCollection/resolve/main/DianaBurnwoodH2SA_e355_s25205.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diddy Kong;Donkey Kong;;300;;https://huggingface.co/Blocktoast64/Blocktoasts-RVC-Models/blob/main/Diddy%20Kong.zip;Diddy Kong (Singing);RVC2, RMVPE;50;;https://huggingface.co/BindyCot/DiddyKongSingingRVCV2/resolve/main/DiddyKongSingingVoice.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dixon Dallas;Singer;RVC2;300;;https://huggingface.co/cass/MiscRVCModels/resolve/main/dixondallasv1.zip;Dixon Dallas (Jake Hill);RVC2;250;;https://huggingface.co/tThreshold/dixondallas/resolve/main/dixondallas.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Docter Eggman;Sonic;RVC2, RMVPE;500;;https://huggingface.co/WholesalePringals/WPModels/resolve/main/Eggman%20(Mike%20Pollock).zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doctor Octopus;Marvel;RVC2;260;;https://huggingface.co/Hazza1/OttoOctavius/resolve/main/otto.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doki;Discovery Kids;RVC;1000;;https://drive.google.com/file/d/1L32aRKCmYzNpgWVngG1vDWVpDgpvNIzW/view?usp=share_link;Doki;RVC2;250;;https://huggingface.co/EvanTheToonGuy40/RVC_Models/resolve/main/Doki.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don Krieg;One Piece;RVC2;286;;https://huggingface.co/cheezebone/SpongyCakeRVC/resolve/main/Don_Krieg(ENG-Funi)_286e.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don Ramón;El Chavo del 8;RVC2;250;;https://huggingface.co/IzmaelAguayo/IzmaelAguayoRVC/resolve/main/DonRamon.zip;Don Ramón;RVC2;500;;https://huggingface.co/Alex59976/Alex59976RVC/resolve/main/DonRamon.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Donald Duck;Disney ;RVC2;140;;https://huggingface.co/UBandant/RVCModels/blob/main/Donald.zip;Donald Duck;RMVPE;200;;https://huggingface.co/Homiebear/DonaldDuck/resolve/main/DonaldDuck.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Donald Trump;Politician;RVC2;150;;https://huggingface.co/ThompsonAI9/ThompsonAI9RVC/resolve/main/donaldtrumplowenergy.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Donquixote Doflamingo;One Piece;RVC2;250;;https://huggingface.co/RevolutionaryPie/DoflamingoRVC/resolve/main/Doflamingo.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doug Bowser;Businessman;;300;;https://huggingface.co/pachuto787/Doug/resolve/main/Doug%20Bowser.zip;Doug Bowser;RVC2, RMVPE;175;;https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/DougBowser.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doug Dimmadome;The Fairly OddParents;RVC2, RMVPE;250;;https://huggingface.co/MeloxxoleM/DougDimmadome/resolve/main/DougDimmadome.zip;Doug Dimmadome;RVC2, RMVPE;100;;https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/DougDimmadomeOwnerOfTheDimmsdaleDimmadome.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Douma;Demon Slayer;RVC2;600;Japanese;https://weights.gg/user/cln1nsoq10000lf08sxfkpzqg;Douma;RVC2;600;Japanese;https://huggingface.co/Kuma6/Douma/resolve/main/Douma.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dr Mundo;League of Legends;RVC2;350;;https://huggingface.co/AyyMann/AyyMannAI/resolve/main/DrMundoTheMadmanOfZaun.zip;Dr Mundo (Pre-Rework);RVC2;200;;https://huggingface.co/AyyMann/AyyMannAI/resolve/main/DrMundoTheMadmanOfZaunPreRework.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracule Mihawk;One Piece;RVC2;260;;https://huggingface.co/Skeetawn/OnePiece-Mihawk/resolve/main/OnePiece-DraculeMihawk.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draven;League of Legends;RVC2;450;;https://huggingface.co/Hazza1/Draven/blob/main/draven.zip;Draven (Ricardo Juarez);RVC2;300;Portuguese;https://huggingface.co/AlbinoSenpai/draven/resolve/main/draven.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dua Lipa;Singer;RVC2;300;;https://huggingface.co/Roscall/Dua-lipaFutureNostalgia/resolve/main/Dua%20Lipa%20Future%20Nostalgia.zip;Dua Lipa;RVC2, RMVPE;;;https://models.weights.gg/cloathx7001a7wsj7nnr5h15w.zip;Dua Lipa;RVC2;400;;https://huggingface.co/winwln/RVCmodels/resolve/main/DuaLipa.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dylan Zitkus;Youtuber;RVC2;240;;https://huggingface.co/datasets/mango19918/aimodels/resolve/main/Dylan%20Zitkus.zip;Dylan Zitkus;RVC2;250;;https://huggingface.co/Saakaindzii/SaakaindziiRVC/resolve/main/DylanZitkusVoice.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ed Sheeran;Singer;RMVPE, OV2;300;;https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/BadHabitsDrums.zip?download=true;Ed Sheeran (Celestial);RVC2, RMVPE;300;;https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/CelestialDrums.zip?download=true;Ed Sheeran (Thinking Out Loud);RMVPE, OV2;300;;https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/ThinkingOutLoudDrums.zip?download=true;Ed Sheeran;RVC2, RMVPE;400;;https://huggingface.co/SUP3RMASS1VE/Ed-Sheeran-0v2/resolve/main/Ed%20Sheeran%200v2.zip?download=true;Ed Sheeran;RVC2, RMVPE;500;;https://huggingface.co/SUP3RMASS1VE/Ed-Sheeran/resolve/main/Ed%20Sheeran.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;
Edd;Eddsworld;;300;;https://huggingface.co/Blocktoast64/Blocktoasts-RVC-Models/blob/main/Edd%20(Billie%20Hindle).zip;Edd (Billie Hindle);;300;;https://huggingface.co/Blocktoast64/Blocktoasts-RVC-Models/resolve/main/Edd%20(Billie%20Hindle).zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDD;Ed, Edd n Eddy;RVC2;300;;https://huggingface.co/Loren85/EDD-videogame-2005/resolve/main/EDD%20Video%20game.zip?download=true;Edd;RVC2;250;;https://huggingface.co/IsaiahTheCreator/Eddy/resolve/main/Edd.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eddie Murphy;Shrek;RVC2;204;;https://huggingface.co/MrSneakyD/Donkey_RVC/resolve/main/donkey-sing.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edvard Persson;Singer;RVC2;440;Swedish;https://huggingface.co/Albinator/Edvard-Persson/resolve/main/Edvard-Persson_e440_s17600.zip?download=true;Edvard Persson;RVC2;440;Swedish;https://huggingface.co/Albinator/Edvard-Persson/resolve/main/Edvard-Persson_e440_s17600.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eiichiro Oda;One Piece;RVC2;116;;https://huggingface.co/Skeetawn/EiichiroOda/resolve/main/Eiichiro-Oda.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Bananero;Youtuber;RVC2;;;https://huggingface.co/Blakus/El_Bananero_RVC/resolve/main/El_Bananero_RVC.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eli Vance;Half Life;RVC2, RMVPE;350;;https://huggingface.co/ScruffyRVC/RFCRVCV2/resolve/main/eli-vance.zip?download=true;Eli Vance;RVC2, RMVPE;300;;https://huggingface.co/Helpfulmonster556/RVCModels/resolve/main/EliVanceV2.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ellie;The Last of Us;RVC2;119;;https://huggingface.co/Grimoire-VC/Voices/resolve/main/EllieP1.zip;Ellie (Part 2);RVC2;203;;https://huggingface.co/Grimoire-VC/Voices/resolve/main/EllieP2.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elmo;Sesame Street;RVC2;300;;https://huggingface.co/SonicInGug/Elmo-Kevin-Clash/resolve/main/ElmoKevinClash.zip;Elmo (Ryan Dillon);RVC2;250;;https://huggingface.co/datonerylsguy/ElmoRyanDillon/resolve/main/ElmoRyanDillon.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elsa;Frozen;RVC2;300;;https://huggingface.co/SCRFilms/ElsaFrozenV4/resolve/main/Elsa_V5_40K.zip?download=true;Elsa;RVC2;600;;https://huggingface.co/SCRFilms/ElsaFrozenV4/resolve/main/Elsa%20V4_600.zip?download=true;Elsa;RVC2;500;;https://huggingface.co/SCRFilms/ElsaFrozen/resolve/main/ElsaFrozen_1.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elton John;Singer;;;;https://huggingface.co/VAP36/EltonJohnCurrent/blob/main/EJModern.zip;Elton John (1990s);RVC2;200;;https://huggingface.co/Flyleaf/1990sEltonJohn/resolve/main/1990sEltonJohn.zip;Elton John (1986);RVC2;500;;https://huggingface.co/Flyleaf/1986EltonJohnLiveinAustralia/resolve/main/1986EltonJohn.zip;Elton John (Modern);RVC2;225;;https://huggingface.co/Flyleaf/EltonJohnModern/resolve/main/2019Elton.zip;Elton John;RVC2;340;;https://huggingface.co/Flyleaf/1983ltonJohn/resolve/main/1983ltonjohn.zip;;;;;;;;;;;;;;;;;;;;;;;;;
Emerald Goldenbraid;Mysticons;RVC2;240;;https://drive.google.com/file/d/1es4cDMV1ZyWRl7-_xsbL_E06iBB3ADfr/view?usp=sharing;Emerald GoldenBraid;RVC2;270;;https://drive.google.com/file/d/1es4cDMV1ZyWRl7-_xsbL_E06iBB3ADfr/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmanuel Macron;Politician;RVC2;160;;https://huggingface.co/ImAddict/macron/resolve/main/macron.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emperor Zurg;Toy Story;RVC2;250;;https://huggingface.co/MrSneakyD/EmperorZurg_RVC/resolve/main/Zurg_BLoSC.zip;Emperor Zurg;RVC2;250;;https://huggingface.co/MrSneakyD/EmperorZurg_RVC/resolve/main/zurg.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Er Brasiliano;Youtuber;RVC2;250;Italian;https://huggingface.co/FanFierik/ErBrasiliano/resolve/main/ErBrasiliano.zip?download=true;Er Brasiliano (Massimiliano Minnocci);RVC2;250;Italian;https://huggingface.co/FanFierik/ErBrasiliano/resolve/main/ErBrasiliano.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EricVanWilderman;Youtuber;RVC2;250;;https://huggingface.co/noob3n/EricVanWilderman/resolve/main/EVW.zip;EricVanWilderman;RVC;200;;https://huggingface.co/GDJay/JayModels/resolve/main/EricVanWilderman.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erling Haaland;Footballer;RVC2;200;English;https://huggingface.co/Rationalise/ErlingHaaland/resolve/main/ErlingHaaland.zip;Erling Haaland;RVC2;230;;https://huggingface.co/Hazza1/ErlingHaaland/resolve/main/erling.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espio The Chameleon;Sonic Heroes;RVC2;250;;https://huggingface.co/thedoodooman/myverycoolaimodels/resolve/main/Espio.zip;Espio the Chameleon (Bill Corkery);RVC2;300;;https://huggingface.co/Coleereer/EGadd/resolve/main/EspioHeroes.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethan Winter's;Resident Evil;RVC2;140;;https://huggingface.co/Hazza1/EthanWinters/resolve/main/ethanre7.zip;Ethan Winter's;RVC2;430;;https://huggingface.co/AIMan2001/EthanWinters/resolve/main/EthanWinters.zip;Ethan Winter's;RVC2;300;;https://huggingface.co/Rejekts/EthanWinters-RVC/resolve/main/EthanWinters.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eula;Genshin Impact;RVC2;300;Japanese;https://huggingface.co/iroaK/RVC2_Eula_GenshinImpact/resolve/main/EulaJP.zip;Eula;RVC2;300;English;https://huggingface.co/xdcrosserxd/Eula/resolve/main/EulaModel.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
